sample_index,sample_id,official_status,case_dir,repeat_1_final_dir,repeat_2_final_dir,missing_count,missing_items
1197,M&T/select_book/example96,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example96,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example96\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example96\official_repeat_2,0,
1198,M&T/select_book/example97,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example97,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example97\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example97\official_repeat_2,0,
1199,M&T/select_book/example98,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example98,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example98\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example98\official_repeat_2,0,
1200,M&T/select_book/example99,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example99,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example99\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_book\example99\official_repeat_2,0,
1201,M&T/select_chemistry_tube/example0,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example0,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example0\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example0\official_repeat_2,0,
1202,M&T/select_chemistry_tube/example1,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example1\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example1\official_repeat_2,0,
1203,M&T/select_chemistry_tube/example2,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example2,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example2\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example2\official_repeat_2,0,
1204,M&T/select_chemistry_tube/example3,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example3,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example3\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example3\official_repeat_2,0,
1205,M&T/select_chemistry_tube/example4,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example4,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example4\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example4\official_repeat_2,0,
1206,M&T/select_chemistry_tube/example5,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example5,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example5\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example5\official_repeat_2,0,
1207,M&T/select_chemistry_tube/example6,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example6,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example6\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example6\official_repeat_2,0,
1208,M&T/select_chemistry_tube/example7,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example7,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example7\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example7\official_repeat_2,0,
1209,M&T/select_chemistry_tube/example8,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example8,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example8\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example8\official_repeat_2,0,
1210,M&T/select_chemistry_tube/example9,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example9,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example9\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example9\official_repeat_2,0,
1211,M&T/select_chemistry_tube/example10,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example10,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example10\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example10\official_repeat_2,0,
1212,M&T/select_chemistry_tube/example11,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example11,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example11\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example11\official_repeat_2,0,
1213,M&T/select_chemistry_tube/example12,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example12,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example12\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example12\official_repeat_2,0,
1214,M&T/select_chemistry_tube/example13,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example13,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example13\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example13\official_repeat_2,0,
1215,M&T/select_chemistry_tube/example14,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example14,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example14\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example14\official_repeat_2,0,
1216,M&T/select_chemistry_tube/example15,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example15,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example15\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example15\official_repeat_2,0,
1217,M&T/select_chemistry_tube/example16,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example16,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example16\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example16\official_repeat_2,0,
1218,M&T/select_chemistry_tube/example17,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example17,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example17\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example17\official_repeat_2,0,
1219,M&T/select_chemistry_tube/example18,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example18,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example18\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example18\official_repeat_2,0,
1220,M&T/select_chemistry_tube/example19,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example19,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example19\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example19\official_repeat_2,0,
1221,M&T/select_chemistry_tube/example20,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example20,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example20\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example20\official_repeat_2,0,
1222,M&T/select_chemistry_tube/example21,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example21,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example21\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example21\official_repeat_2,0,
1223,M&T/select_chemistry_tube/example22,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example22,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example22\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example22\official_repeat_2,0,
1224,M&T/select_chemistry_tube/example23,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example23,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example23\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example23\official_repeat_2,0,
1225,M&T/select_chemistry_tube/example24,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example24,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example24\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example24\official_repeat_2,0,
1226,M&T/select_chemistry_tube/example25,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example25,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example25\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example25\official_repeat_2,0,
1227,M&T/select_chemistry_tube/example26,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example26,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example26\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example26\official_repeat_2,0,
1228,M&T/select_chemistry_tube/example27,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example27,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example27\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example27\official_repeat_2,0,
1229,M&T/select_chemistry_tube/example28,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example28,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example28\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example28\official_repeat_2,0,
1230,M&T/select_chemistry_tube/example29,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example29,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example29\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example29\official_repeat_2,0,
1231,M&T/select_chemistry_tube/example30,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example30,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example30\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example30\official_repeat_2,0,
1232,M&T/select_chemistry_tube/example31,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example31,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example31\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example31\official_repeat_2,0,
1233,M&T/select_chemistry_tube/example32,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example32,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example32\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example32\official_repeat_2,0,
1234,M&T/select_chemistry_tube/example33,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example33,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example33\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example33\official_repeat_2,0,
1235,M&T/select_chemistry_tube/example34,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example34,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example34\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example34\official_repeat_2,0,
1236,M&T/select_chemistry_tube/example35,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example35,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example35\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example35\official_repeat_2,0,
1237,M&T/select_chemistry_tube/example36,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example36,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example36\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example36\official_repeat_2,0,
1238,M&T/select_chemistry_tube/example37,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example37,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example37\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example37\official_repeat_2,0,
1239,M&T/select_chemistry_tube/example38,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example38,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example38\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example38\official_repeat_2,0,
1240,M&T/select_chemistry_tube/example39,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example39,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example39\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example39\official_repeat_2,0,
1241,M&T/select_chemistry_tube/example40,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example40,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example40\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example40\official_repeat_2,0,
1242,M&T/select_chemistry_tube/example41,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example41,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example41\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example41\official_repeat_2,0,
1243,M&T/select_chemistry_tube/example42,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example42,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example42\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example42\official_repeat_2,0,
1244,M&T/select_chemistry_tube/example43,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example43,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example43\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example43\official_repeat_2,0,
1245,M&T/select_chemistry_tube/example44,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example44,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example44\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example44\official_repeat_2,0,
1246,M&T/select_chemistry_tube/example45,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example45,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example45\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example45\official_repeat_2,0,
1247,M&T/select_chemistry_tube/example46,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example46,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example46\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example46\official_repeat_2,0,
1248,M&T/select_chemistry_tube/example47,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example47,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example47\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example47\official_repeat_2,0,
1249,M&T/select_chemistry_tube/example48,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example48,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example48\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example48\official_repeat_2,0,
1250,M&T/select_chemistry_tube/example49,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example49,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example49\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example49\official_repeat_2,0,
1251,M&T/select_chemistry_tube/example50,B0_official_eligible,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example50,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example50\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example50\official_repeat_2,0,
1252,M&T/select_chemistry_tube/example51,B5_nondeterministic_mismatch,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example51,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example51\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\M&T\select_chemistry_tube\example51\official_repeat_2,0,
